Number of vertices: 16
Start vertex:       4

         0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15
------------------------------------------------------------------------------------
  0 |    0    0   88    0    0    0    0    0    0    0    0    0    0    0    0    0
  1 |    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0
  2 |    0    0    0    0   50    0    0    0    0    0    0    0   92    0   76    0
  3 |    0    0    0    0   67    0    0    0    0   40    0    0    0    0    0    0
  4 |   96    0    0   19    0    0    0    0   64    0    0    0    0   80    0    0
  5 |    0   84    0   87    0    0   91    0    0    0    0   34    0    0    0    0
  6 |    0    0    0   58    0    0    0    0    0    0    0    0    0   41    0    0
  7 |    0    0    0    0    0    0    0    0    0   19    0    0   71    0   33    6
  8 |    0    0   49    0    0    0    0    0    0    0    0    0    0    0    0    0
  9 |    0    0   85    0    0    0    0    0    0    0    0   54    0    0   10    0
 10 |    0    0    0    0    0    0    0    0    0    0    0    0    0    0   49    0
 11 |    0    0    0    0    0    0    0   93    4    0    0    0    0   92    0    0
 12 |    0    0    0    0    0    0    0    0    0    0    0   73    0    0    0    0
 13 |    0    1    0    0    0    0    0    0    0    0   92    0    0    0    0    0
 14 |    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
 15 |    0    0    0   28    0    0    0    0    1    0    0    0    0    0    0    0
