Number of vertices: 20
Start vertex:       16

         0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19
--------------------------------------------------------------------------------------------------------
  0 |    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   37
  1 |    0    0   48   17    0    0    0    0    0    0    3    0    0    0    0    0    8    0    0    0
  2 |   12    0    0    0   84   38   46   72    0    0   42    0   13    0    0    0    0   95    0    0
  3 |    0    0    0    0    0    0    0   16    0    0   25    0    0    0    0   79    0    0    0    0
  4 |    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   30    0    0    0
  5 |   93   54    0    0    0    0    0    0    0   37   23   73    0    0    0    0    0    0    0    0
  6 |    0    0    0    0    0    0    0    0    0    0    0   69    0    0    0    0    0    0    0    0
  7 |    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   87    0    0    0    0
  8 |    0    0    0    0   18    7    0    0    0    0    0    0    0    0    0    0    0    0   54    0
  9 |   89    0    0   48    0    0   10    0    0    0    0    0    0    0    0    0   44    0    0    0
 10 |    0    0    0   80    0    0    0    0    0   38    0    0    0    0    5    0    0    0    0    0
 11 |    0    0    0   47    0    0    0    0    0    0    0    0   32    0    0    0    0    0    0   67
 12 |    0    0   17    0    0    0    0    0    0    0    0    0    0   53    0   59    0    0    0   83
 13 |    0    0   41    0    0    0    0    0    0    0    4   24   68    0    0    0    0    0    0    0
 14 |    0   94    0    0    0    0    0    0    0    0    0   21    0    0    0    0    0    0    0    0
 15 |    0    0    0    0    0    0    0   17    0    0    0    0    0    0    0    0    0    0    0    0
 16 |   14   88    0   95    0    0    0    0    0    0    0    0   33    0    0    0    0    0    0    0
 17 |    0    0    0    2    0    0    0    0   91   59    0    0   58    0    0    0    0    0    0    0
 18 |    0    0    0   14    0   98    0    0    0   48    0    0    0    0    0    0   97    0    0    0
 19 |    0    0    0   63    0    0    0    0    0    0    0    0    0   42    0    0    0    0   91    0
