Number of vertices: 15
Start vertex:       1

         0    1    2    3    4    5    6    7    8    9   10   11   12   13   14
-------------------------------------------------------------------------------
  0 |    0    0    0    0    0   21    0    0   34   12    0    0    0    0    0
  1 |    0    0    0    0    0    0   10   42    0   31   82    0    0    0    0
  2 |    0    0    0    0   13   43    0   60    0   37    0    0    0    0   30
  3 |    0    0    0    0    0    0    0   89    0    0    0    0    0    0    0
  4 |    0    0   67    0    0    0    0    0    0    0    0    5    0    0    0
  5 |    5    0    0    0    0    0    0    0    0   93    0   80    0    0    0
  6 |    0    0    0    0    0    0    0    0    5    0    0    0    0    0    0
  7 |    0   10   99    0   33    0    0    0    0    0   15    0    0   56    0
  8 |    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
  9 |   99    0    0   44   34    0    0    0    0    0    0    0    0    0    0
 10 |   63    0    0    0    0   41    0    0    0   64    0    0   66    0   97
 11 |    0    0    0   76    0    0    0    0    0    0    0    0    0    0    0
 12 |    0    0    0    0   82    0    1    0    0    0    0    0    0    0    0
 13 |    0   93    0   28    0    0    0    0    0    0    0    0    0    0    0
 14 |    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
