Number of vertices: 15
Start vertex:       14

         0    1    2    3    4    5    6    7    8    9   10   11   12   13   14
-------------------------------------------------------------------------------
  0 |    0    0    0    0    0    0    0    0    0    0    0    0   50    0    0
  1 |    0    0    0    0   26   46   73    0    0    0    0   22    0    0    0
  2 |    0    0    0    0    0    0   48    0    0    0    0    0    0    0   40
  3 |    0   30    0    0    0    0    0   81    0   64    0    0   92    0    0
  4 |    0    0    0    0    0    0    0   45    0    0    0    0    0    0    0
  5 |   13    0    0    0    0    0    0    0    0    0    0    0    0    0   73
  6 |    0    0    0    0    0    0    0    0    0    0   42    0    0    0    0
  7 |    0    0    0    0   93    0    0    0    0    0    0    0    0    0    0
  8 |   52   22    0   23    0    0    0    0    0    0   38    0    0    0   13
  9 |    0    0    0    0    0    0   58    0    0    0    0    0    0    0    0
 10 |   96   73    0    0    0   40    0    0    0    0    0    0    0    0    0
 11 |    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
 12 |   19    0    0    0    0   44   55    0    0    0    0   15    0   50    0
 13 |    0   26    0    0    0    0    0    0    0    0   88    0    0    0    0
 14 |    0    0    0   77    0   14    0   50    0    0    0    0   52    0    0
